All.obs;uniqueID;Record;Country;Type;RBD;ICcode;physChemText;Note1_PhysChemText;SumMetric;ValueStd;ValueUpStd;CorSumMetric;Note2_Season;CorValueStd;CorValueUpStd;UnitUsed;Note3_stdUnits;RangeRep;ReasonRange;SalinityRange;DepthZone;Comment;Delete;physChemCategoryCW;physChemCategoryTW;Ver;cfMS
8110;10006;105;BG;BG2000;CW9;CW-BL1;Orthophosphate;;winter;61,2;;winter;;20;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8119;10015;106;BG;BG2000;CW9;CW-BL1;Orthophosphate;;spring;45,9;;spring;;15;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8128;10024;107;BG;BG2000;CW9;CW-BL1;Orthophosphate;;summer;30,6;;summer;;10;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8137;10033;108;BG;BG2000;CW9;CW-BL1;Orthophosphate;;autumn;39,78;;autumn;;13;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7862;9758;109;BG;BG2000;CW1N;CW-BL1;Secchi disk depth;;AA-EQS;2,6;3,7;AA-EQS;;2,6;;m;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7864;9760;110;BG;BG2000;CW2N;CW-BL1;Secchi disk depth;;AA-EQS;2,6;3,7;AA-EQS;;2,6;;m;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7861;9757;111;BG;BG2000;CW3;CW-BL1;Secchi disk depth;;AA-EQS;2,6;3,7;AA-EQS;;2,6;;m;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7866;9762;112;BG;BG2000;CW4N;CW-BL1;Secchi disk depth;;AA-EQS;2,6;3,7;AA-EQS;;2,6;;m;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7865;9761;113;BG;BG2000;CW5;CW-BL1;Secchi disk depth;;AA-EQS;2,6;3,7;AA-EQS;;2,6;;m;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7868;9764;114;BG;BG2000;CW6N;CW-BL1;Secchi disk depth;;AA-EQS;2,6;3,7;AA-EQS;;2,6;;m;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7869;9765;115;BG;BG2000;CW7;CW-BL1;Secchi disk depth;;AA-EQS;2,6;3,7;AA-EQS;;2,6;;m;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7863;9759;116;BG;BG2000;CW8;CW-BL1;Secchi disk depth;;AA-EQS;2,6;3,7;AA-EQS;;2,6;;m;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7867;9763;117;BG;BG2000;CW9;CW-BL1;Secchi disk depth;;AA-EQS;2,6;3,7;AA-EQS;;2,6;;m;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
