All.obs;GIG;Cat;ICcode.TRAC;Country;NatType;physChemText;SumMetric;ValueStd;ValueUpStd;UnitUsed;RangeRep;ReasonRange;DepthZone;Ver.r;MetricType
11774;BAL;CW;CW-BC6;SE;8;Orthophosphate;winter;8.673059164;11.46082818;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11675;BAL;CW;CW-BC6;SE;9;TN;summer;0.27172998;0.61349346;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11723;BAL;CW;CW-BC6;SE;7;TP;winter;22.30110792;46.15090389;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11650;BAL;CW;CW-BC6;SE;9;TN;winter;0.28293534;0.90623349;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11773;BAL;CW;CW-BC6;SE;7;Orthophosphate;winter;12.39008452;14.86810142;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11673;BAL;CW;CW-BC6;SE;7;TN;summer;0.20169648;0.27172998;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11413;BAL;CW;CW-BC7;PL;PL6000;Orthophosphate;winter;24;NA;µgP/L;FALSE;NA;NA;Rver2;seasonal
11404;BAL;CW;CW-BC7;PL;PL6000;% oxygen saturation;AA-EQS;80;120;PC02;TRUE;High low;Surf;Rver2;annual
11425;BAL;CW;CW-BC7;PL;PL6000;TP;summer;38;NA;µgP/L;FALSE;NA;NA;Rver2;seasonal
11421;BAL;CW;CW-BC7;PL;PL6000;Total Inorganic N;winter;0.23;NA;mgN/L;FALSE;NA;NA;Rver2;seasonal
11409;BAL;CW;CW-BC7;PL;PL6000;Nitrate as N;winter;0.15;NA;mgN/L;FALSE;NA;NA;Rver2;seasonal
11401;BAL;CW;CW-BC7;PL;PL6000;Dissolved oxygen;AA-EQS;4.2;NA;mg/L;FALSE;NA;Bottom;Rver2;annual
11417;BAL;CW;CW-BC7;PL;PL6000;Secchi disk depth;summer;3.8;NA;m;FALSE;NA;NA;Rver2;seasonal
5014;BAL;CW;CW-BC9;FI;FIVHA3;TP;summer;20;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
5655;BAL;CW;CW-BC9;FI;FIWDA;TN;summer;0.333;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
11781;BAL;CW;CW-BC9;SE;14;Orthophosphate;winter;11.77058029;15.79735776;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
4903;BAL;CW;CW-BC9;FI;FIVHA3;Secchi disk depth;summer;5.8;NA;m;FALSE;NA;Surf;Rver2;seasonal
11706;BAL;CW;CW-BC9;SE;14;Total Inorganic N;winter;0.0420201;0.35296884;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
4854;BAL;CW;CW-BC9;FI;FIVHA2;TN;summer;0.29;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
4805;BAL;CW;CW-BC9;FI;FIVHA2;Secchi disk depth;summer;5.8;NA;m;FALSE;NA;Surf;Rver2;seasonal
11681;BAL;CW;CW-BC9;SE;14;TN;summer;0.27032931;0.56867202;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
4910;BAL;CW;CW-BC9;FI;FIVHA3;Secchi disk depth;summer;4.6;NA;m;FALSE;NA;Surf;Rver2;seasonal
5007;BAL;CW;CW-BC9;FI;FIVHA3;TP;summer;18;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
5659;BAL;CW;CW-BC9;FI;FIWDA;TP;summer;18;NA;µgP/L;FALSE;NA;NA;Rver2;seasonal
4957;BAL;CW;CW-BC9;FI;FIVHA3;TN;summer;0.29;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
11731;BAL;CW;CW-BC9;SE;14;TP;winter;18.89399421;48.93854238;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
4964;BAL;CW;CW-BC9;FI;FIVHA3;TN;summer;0.31;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
5654;BAL;CW;CW-BC9;FI;FIWDA;Secchi disk depth;summer;6.3;NA;m;FALSE;NA;NA;Rver2;seasonal
11656;BAL;CW;CW-BC9;SE;14;TN;winter;0.28713735;0.74795778;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
4899;BAL;CW;CW-BC9;FI;FIVHA2;TP;summer;18;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
11756;BAL;CW;CW-BC9;SE;14;TP;summer;12.3895044;31.28349861;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
